fièrement	CM2	ADV
fièvre	CM1	NOM
figure	CE1	NOM
figurer	CM1	VER
fil	CM1	NOM
file	CM1	NOM
filet	CM1	NOM
fille	CP	NOM
fillette	CM1	NOM
fils	CE2	NOM
fin	CE2	NOM/ADJ
finalement	CM1	ADV
finir	CE1	VER
fixe	CE2	ADJ
fixer	CM2	VER
flacon	CM1	NOM
flamand	CM2	NOM/ADJ
flamme	CM1	NOM
flaque	CM1	NOM
fléau	CM1	NOM
flèche	CM2	NOM
fleur	CE1	NOM
fleurette	CE1	NOM
fleuve	CE1	NOM
flocon	CM1	NOM
flot	CM1	NOM
flotter	CM2	VER
foi	CM1	NOM
foie	CM1	NOM
foin	CE2	NOM
foire	CE2	NOM
fois	CE1	NOM
fonction	CE2	NOM
fond	CM1	NOM
fondre	CE1	VER
fontaine	CE2	NOM
force	CE1	NOM
forcer	CM2	VER
forestier	CM1	ADJ
forêt	CM1	NOM
forge	CE2	NOM
forger	CM1	VER
forgeron	CE2	NOM
forme	CE2	NOM
former	CM1	VER
formidable	CE1	ADJ
fort	CE2	ADJ/ADV/NOM
fortement	CE1	ADV
fortune	CP	NOM
fossé	CM1	NOM
fou	CE2	NOM/ADJ
foudre	CP	NOM
fouet	CM1	NOM
fouetter	CM2	VER
fougère	CM1	NOM
foule	CE1	NOM
four	CE2	NOM
fourmi	CM2	NOM
fourneau	CE2	NOM
fournir	CE2	VER
fourniture	CE2	NOM
fourrure	CM1	NOM
foyer	CM1	NOM
fragile	CM1	ADJ
fraîcheur	CM2	NOM
