juste;CE1;ADJ/ADV
net;CE2;ADJ/ADV
nets;CE2;ADJ/ADV
nette;CE2;ADJ/ADV
nettes;CE2;ADJ/ADV
rouge;CP;ADJ/ADV
rude;CP;ADJ/ADV
sec;CE1;ADJ/ADV
bon;CE1;ADJ/ADV/NOM
fort;CE2;ADJ/ADV/NOM
haut;CE1;ADJ/ADV/NOM
divers;CM2;ADJ/DET
diverses;CM2;ADJ/DET
neuf;CE2;ADJ/DET
tel;CE2;ADJ/DET
telle;CE2;ADJ/DET
telles;CE2;ADJ/DET
tels;CE2;ADJ/DET
ancien;CM2;ADJ/NOM
ancienne;CM2;ADJ/NOM
anciennes;CM2;ADJ/NOM
anciens;CM2;ADJ/NOM
bienvenu;CM2;ADJ/NOM
bienvenue;CM2;ADJ/NOM
bienvenues;CM2;ADJ/NOM
bienvenus;CM2;ADJ/NOM
blanc;CE2;ADJ/NOM
blanche;CE2;ADJ/NOM
blanches;CE2;ADJ/NOM
blancs;CE2;ADJ/NOM
bonne;CE1;ADJ/NOM
bonnes;CE1;ADJ/NOM
bons;CE1;ADJ/NOM
chéri;CM1;ADJ/NOM
chérie;CM1;ADJ/NOM
chéries;CM1;ADJ/NOM
chéris;CM1;ADJ/NOM
classique;CM1;ADJ/NOM
classiques;CM1;ADJ/NOM
colonial;CM2;ADJ/NOM
coloniale;CM2;ADJ/NOM
coloniales;CM2;ADJ/NOM
coloniaux;CM2;ADJ/NOM
complet;CM1;ADJ/NOM
complets;CM1;ADJ/NOM
contraire;CM1;ADJ/NOM
contraires;CM1;ADJ/NOM
coupable;CE1;ADJ/NOM
coupables;CE1;ADJ/NOM
deuxième;CM1;ADJ/NOM
deuxièmes;CM1;ADJ/NOM
divin;CE2;ADJ/NOM
divine;CE2;ADJ/NOM
divines;CE2;ADJ/NOM
divins;CE2;ADJ/NOM
drôle;CM1;ADJ/NOM
drôles;CM1;ADJ/NOM
dur;CM1;ADJ/NOM
dure;CM1;ADJ/NOM
dures;CM1;ADJ/NOM
durs;CM1;ADJ/NOM
éternel;CE2;ADJ/NOM
éternelle;CE2;ADJ/NOM
éternelles;CE2;ADJ/NOM
éternels;CE2;ADJ/NOM
faible;CM1;ADJ/NOM
faibles;CM1;ADJ/NOM
forte;CE2;ADJ/NOM
fortes;CE2;ADJ/NOM
forts;CE2;ADJ/NOM
froid;CE1;ADJ/NOM
froids;CE1;ADJ/NOM
grand;CE1;ADJ/NOM
grande;CE1;ADJ/NOM
grandes;CE1;ADJ/NOM
grands;CE1;ADJ/NOM
gras;CE2;ADJ/NOM
grasse;CE2;ADJ/NOM
grasses;CE2;ADJ/NOM
gros;CE1;ADJ/NOM
grosse;CE1;ADJ/NOM
grosses;CE1;ADJ/NOM
haute;CE1;ADJ/NOM
